"LocalID","PageID","VisitID","PageName","CatName","CatID","ExtCatName","ExtCatID","TopicName","TopicID","TimeOnPage","PageScore","SequenceNumber"
668209,3047,9620,"expedice-hory","Hledani",2,"Katalog",5,"VHT",21,30,50,2
668210,3063,9620,"expedice","Hledani",2,"Katalog",5,"Expedice Narocne",18,30,62,3
668211,3158,9620,"horolezecka-skola","Hledani",2,"Katalog",5,"Horolezecka skola",14,30,71,4
668213,3063,9620,"expedice","Hledani",2,"Katalog",5,"Expedice Narocne",18,60,167,6
668214,3046,9620,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,30,88,7
668212,3317,9620,"zimnÌ-horoökola.htm","Zajezd",3,"Neni",-1,"Horolezecka skola",14,60,156,5
668215,3044,9621,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668216,3045,9621,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,120,203,2
668218,3054,9621,"korsika","Hledani",2,"Katalog",5,"Korsika",11,60,143,4
668217,4366,9621,"korsika-smaragdov˝-ostrov-korsika-turistika-a-dovolen·-2005.htm","Zajezd",3,"Neni",-1,"Turistika",1,60,125,3
668219,3188,9621,"korsika-(pobyt-s-v˝lety)-dovolen·-2005-.htm","Zajezd",3,"Neni",-1,"Korsika",11,420,1095,5
668220,3686,9621,"turecko-tureckÈ-z·padnÌ-pob¯eûÌ-.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,420,1172,6
